Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
BAR BRASSERIE LA POSTE;Restaurant;Brasserie;;43 rue d'Anjou;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3658699;-1.1785141;;;;;;;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1051955-d5813738-Reviews-Bar_Brasserie_de_la_Poste-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html;"<div id=""TA_selfserveprop436"" class=""TA_selfserveprop"">;<ul id=""gK11HvP1"" class=""TA_links LFiE9JWyfP"">;<li id=""zdPGuS4NCT"" class=""ipa9XQ"">;<a target=""_blank"" href=""http://www.tripadvisor.fr/""><img src=""http://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=436&amp;locationId=5813738&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;Le Routard Hôtels et Restos de France;;;;;;;50;;20;;;;;;;;oui;||||||||11:00||20:00||||||11:00||20:00||||||||||||||11:00||20:00||||||11:00||20:00||||||11:00||16:00||||||11:00||16:00||||;;;;;Tickets Restaurant;47.3658699, -1.1785141;Loire-Atlantique
BAR DU MINI GOLF;Restaurant;Restauration rapide;;13 avenue Porson;;44380;;;PORNICHET;44132;47.26343;-2.34057;;;09 52 50 15 91;;;;;;;;;;;;;;;;;;;;;;;;;;01/04/2022||01/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.26343, -2.34057;Loire-Atlantique
BAR L'ALCYON;Restaurant;;;19 allée des Pétrels;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28509;-2.39588;;;02 40 60 19 37;02 40 42 71 33;info@alcyon-hotel.com;http://www.alcyon-hotel.com;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||07:30||21:00||||||07:30||21:00||||||07:30||21:00||||||07:30||21:00||||||07:30||21:00||||||07:30||21:00||||||||||||;;;;;;47.28509, -2.39588;Loire-Atlantique
BAR RESTAURANT DU CHÂTEAU;Restaurant;Cuisine traditionnelle;;17 Rue du Château;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3639891;-1.1778954;;;02 40 83 35 92;;ngiraudet64@orange.fr;;;;;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19;32;;20;;;;;oui;;30;oui;;mme giraudet||02 40 83 35 92||ngiraudet64@orange.fr;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.3639891, -1.1778954;Loire-Atlantique
BATEAUX NANTAIS;Restaurant;Cuisine traditionnelle;;Quai de la Motte Rouge;BP- 50826;44000;;;NANTES CEDEX 1;44109;47.2280015;-1.551488;;;02 40 14 51 14;;commercial@bateaux-nantais.fr;www.bateaux-nantais.fr;;;;;;;;;;Accueil Vélo,La Loire à vélo,La Vélodyssée;;;;;;;"EV1-La Vélodyssée ; EV6-La Loire à Vélo";;;;;;;;;;;;47.2280015, -1.551488;Loire-Atlantique
BEER'S BROTHERS;Restaurant;;;3 Rue de la Prée Neuve;;44350;;;GUERANDE;44069;47.32548;-2.40714;;06 21 64 53 68;02 49 52 29 71;;beersbrothers44@gmail.com;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;01/01/2023||31/12/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.32548, -2.40714;Loire-Atlantique
BIG POPPA;Restaurant;Restauration rapide;;6 Rue du Petit Savine;;44570;;;TRIGNAC;44210;47.29826;-2.20836;Transport en commun||Ligne Hélyce - Arrêt Fontaine aux Bruns||0,19;;02 40 24 64 03;;;;;"Facebook||https://www.facebook.com/pg/bigpoppaburgers/about/?ref=page_internal ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g661771-d14939919-Reviews-Big_Poppa-Trignac_Saint_Nazaire_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert les midis du lundi au samedi, ainsi que le jeudi soir et vendredi soir||Fermé le dimanche et tous les soirs (sauf le jeudi et vendredi)||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||18:30||21:30||11:30||14:00||18:30||22:00||11:30||14:00||||||||||||;;;;"Menu adulte du jour (midi en semaine)||9,90||12,90|| ; Menu adulte soir et week-end||9,90||12,90|| ; Menu enfant||7,00||||";Cartes bancaires,Espèces,Tickets Restaurant;47.29826, -2.20836;Loire-Atlantique
BLUE BAY RESTAURANT;Restaurant;Brasserie;;Boulevard Hennecart face à l'hôtel Christina;Sur la plage;44500;;;LA BAULE-ESCOUBLAC;44055;47.28137;-2.38975;;06 81 73 25 60;02 40 42 01 62;;laurenceledrogo69@orange.fr;http://www.clubdesdauphins.com;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;"02/04/2022||30/06/2022||||||10:30||18:00||||||10:30||18:00||||||||||||||10:30||18:00||||||10:30||18:00||||||10:30||21:00||||||10:30||21:00|||| ; 01/07/2022||31/08/2022||||||10:30||18:00||||||10:30||18:00||||||10:30||18:00||||||10:30||18:00||||||10:30||18:00||||||10:30||21:00||||||10:30||21:00||||";;;;;Espèces;47.28137, -2.38975;Loire-Atlantique
BREIZH FOOD 44;Restaurant;Restauration rapide;;;;44420;;;MESQUER;44097;47.40652;-2.48425;;;07 63 40 97 93;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.40652, -2.48425;Loire-Atlantique
BURGER MODÈLE;Restaurant;;;30 rue de la Métairie;;44410;;;HERBIGNAC;44072;47.44379;-2.31621;;06 10 23 35 76;;;karine.dintzner@yahoo.fr;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;"||||Saint-Molf||||||||||||||||||||||||||||||||||||18:00||21:00|||||||||||||||||||| ; ||||Herbignac||||||||||||||||||||||||||||||||||||||||||||||||||||18:00||21:00||||";;;;;Cartes bancaires,Espèces;47.44379, -2.31621;Loire-Atlantique
CAFE RESTAURANT CREPERIE LE COUP D'FOURCHETTE;Restaurant;Cuisine traditionnelle;;17 rue principale;;44170;;;VAY;44214;47.5546152;-1.7019864;;;02 40 87 14 49;;;;;Facebook||https://www.facebook.com/coupdfourchette/;;;;;;;;;;;;;;;;Français;;;;oui;;;;;;;47.5546152, -1.7019864;Loire-Atlantique
CAFETERIA LE B'ISTRO;Restaurant;Cafétéria;rue du Gl Eisenhower;Galerie Commerciale du Centre E.Leclerc;;44110;;;CHATEAUBRIANT;44036;47.707096;-1.3881623;;;02 40 81 81 81;;briandis@scaouest.fr;;;Facebook||;;;;;;non;;;Service en terrasse;40;1;;;;;Anglais;oui;;20;oui;||||||fermé le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.707096, -1.3881623;Loire-Atlantique
CAPSULES & BOUCHONS;Restaurant;Restauration rapide;;8 rue des Guérets;Parc d'Activités de Villejames;44350;;;GUERANDE;44069;47.3237;-2.4083;;;09 73 22 79 32;;capsulesetbouchons.bar@gmail.com;;;;;;;;;oui;;;Service en terrasse;;;;;;;;;;;;01/01/2023||31/12/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.3237, -2.4083;Loire-Atlantique
CHEZ MARCEL - LE PAVILLON DES FLOTS;Restaurant;Cuisine traditionnelle;;22 rue de la Cormorane;;44770;;;LA PLAINE-SUR-MER;44126;47.15482;-2.19399;;;02 53 79 04 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.15482, -2.19399;Loire-Atlantique
CHEZ PAULINE PIZZA;Restaurant;Restauration rapide;;51 rue Alexis Letourneau;;44170;;;NOZAY;44113;47.5631908;-1.6263829;;;02 40 51 14 53;;;;;Facebook||https://www.facebook.com/chezpaulinepizzasnozay;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;;;;;;;47.5631908, -1.6263829;Loire-Atlantique
CORNER'S PUB & RESTAURANT;Restaurant;Bistrot / bar à vin;;2 Rue Albert Chassagne;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.24693;-2.16512;;;02 28 53 34 13;;corners.pubrestaurant@gmail.com;https://www.facebook.com/Corners-174184299756853/;;;;;;;;;;;WiFi;;;;;;;;;;;;01/01/2021||31/12/2021||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||||||||||10:00||02:00||||||10:00||02:00||||||08:00||15:00||||;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.24693, -2.16512;Loire-Atlantique
COTE ET PLAISANCE;Restaurant;Brasserie;;Port de Plaisance;La Noëveillard;44210;;;PORNIC;44131;47.10994;-2.11434;;06 86 77 98 60;02 40 21 82 03;;legecko@live.fr;https://cote-et-plaisance.eatbu.com/?lang=fr;;;;;Le petit futé;;;oui;;;Plats à emporter,WiFi;50;1;40;;;;;oui;;50;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.10994, -2.11434;Loire-Atlantique
CRÊPERIE CHEZ CHANTAL ET JACKY;Restaurant;Crêperie;;Ile de Fédrun;;44720;;;SAINT-JOACHIM;44168;47.37611;-2.20761;;06 14 98 18 55;;;delphine.tremodeux@sfr.fr;;;;;;;;;oui;;;;;;;;;;;;;;;01/01/2023||31/12/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances;47.37611, -2.20761;Loire-Atlantique
CRÊPERIE LA FLOTILLE;Restaurant;Crêperie;;2  rue de la Juiverie;;44490;;;LE CROISIC;44049;47.29532;-2.51347;;;02 40 23 02 14;;cyril.cochener@gmail.com;http://www.creperie-laflottille-lecroisic.fr/;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;;;;;;;47.29532, -2.51347;Loire-Atlantique
CRÊPERIE LE ROZELL;Restaurant;Crêperie;;53 Avenue du Président Roosevelt;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.22865;-2.17349;;;02 40 39 42 93;;creperie-lerozell@orange.fr;https://www.facebook.com/CreperieLeRozellSaintBrevin/;;;;;Le petit futé;;;;;;;34;1;10;;;;;;;;;"01/03/2022||31/03/2022||midi|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/03/2022||31/03/2022||midi et soir|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/04/2022||30/06/2022||midi et soir|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2022||31/08/2022||midi et soir|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/09/2022||13/11/2022||midi et soir|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/09/2022||30/11/2022||midi||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.22865, -2.17349;Loire-Atlantique
EMPORTEZ-MOI;Restaurant;Restauration rapide;;12 bis rue de l’hôtel de ville;;44680;;;SAINTE-PAZANNE;44186;47.10283;-1.81152;;;02 28 27 17 58;;contact@emportez-moi.fr;http://www.emportez-moi.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.10283, -1.81152;Loire-Atlantique
FALAFEL CITY;Restaurant;Cuisine du Monde;;82 Boulevard de la Libération;;44600;;;SAINT-NAZAIRE;44184;47.28308;-2.21081;;;09 80 69 35 49;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au samedi||Fermé le dimanche||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||||||||;;;;;;47.28308, -2.21081;Loire-Atlantique
FRITERIE LE BELGA;Restaurant;Restauration rapide;;Parking brasserie Damraz;Rue du pré Govelin;44410;;;HERBIGNAC;44072;47.44222;-2.32306;;;06 41 54 88 82;;friterielebelga@gmail.com;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;||||||||||||||||11:30||14:30||18:00||21:00||11:30||14:30||18:00||21:00||11:30||14:30||18:00||21:00||11:30||14:30||18:00||21:00||17:00||21:00||||||||||||;;;;;Cartes bancaires,Espèces;47.44222, -2.32306;Loire-Atlantique
GB TRAITEUR;Restaurant;;;11 Rue des Jaunins;Bourgneuf-en-Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.04187;-1.94323;;;06 63 43 03 00;;gbtraiteur@gmail.com;http://www.gbtraiteur.com/;;;;;;;;;;;Plats à emporter,Traiteur;;;;;;;;;;;;;;;;;;47.04187, -1.94323;Loire-Atlantique
GLOBE CAFÉ;Restaurant;Brasserie;;Route du Point du Jour;;44600;;;SAINT-NAZAIRE;44184;47.2870901;-2.2560437;;;02 40 22 15 01;;restauration.sodijour@gmail.com;;;;;;;;;non;;;Plats à emporter,Plats à emporter / Covid-19,WiFi;80;1;40;;1;;Français;oui;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au samedi||Fermé le dimanche||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||20:00||08:30||||||19:30||||||||;Globe Café ||02 40 22 15 01||;;;"Menu adulte du jour (midi en semaine)||13,50||15,50||plat du jour 9€90, entrée plat ou plat dessert 13€50, entrée plat dessert 15€50 (du lundi au vendredi) ; Plats à la carte||10,50|||| ; Menu enfant||7,90||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2870901, -2.2560437;Loire-Atlantique
GUINGUETTE LA GUINCH'ETTE - MONTRELAIS;Restaurant;Guinguette;;Rue de l'Abbaye;;44370;;;MONTRELAIS;44104;47.3797922;-0.9634546;Route (nationale/départ.)||RD723||3;06 63 88 05 50;;;guinguetteloire@gmail.com;;;Facebook||https://www.facebook.com/laguinchettemontrelais;;;;;;oui;tenue en laisse;Accueil Vélo;Plats à emporter;;;;;;EV6-La Loire à Vélo;Français;oui;;;non;;;;;;Cartes bancaires,Espèces;47.3797922, -0.9634546;Loire-Atlantique
GUINGUETTE LA HUCHETTE;Restaurant;Guinguette;;LA CHAUVINIERE;;44690;;;CHATEAU-THEBAUD;44037;47.119487;-1.420573;"Itinéraire de randonnée|||| ; Route (nationale/départ.)||||";;06 73 56 99 34;;event@jeremie-huchet-vigneron.fr;https://www.guinguettelahuchette.com/;;"Facebook||https://www.facebook.com/guinguette.la.huchette ; Instagram||https://www.instagram.com/guinguette.la.huchette/";;;;;;oui;Animaux acceptés - tenus en laisse;;Service en terrasse;100;3;;1;0;;Allemand,Anglais,Français;oui;;;non;||||||||||||||||||||||||||||||||||||||||12:00||21:30||||||12:00||21:30||||||11:00||17:00||||;||06 73 56 99 34||event@jeremie-huchet-vigneron.fr;;;;Cartes bancaires,Espèces;47.119487, -1.420573;Loire-Atlantique
HH MISAY;Restaurant;Cuisine du Monde;;26 rue de la Source;;44210;;;PORNIC;44131;47.11315;-2.09815;;;09 50 07 32 37;;hhmisay@yahoo.com;;;;;;;;;oui;;;Plats à emporter,Traiteur,WiFi;32;1;20;;;;;oui;6;26;;;;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.11315, -2.09815;Loire-Atlantique
HOUSE BURGER;Restaurant;Restauration rapide;;Rue du Blandeau;Centre commercial;44320;;;SAINT-PERE-EN-RETZ;44187;47.20457;-2.04351;;;09 84 02 23 30;;;https://www.facebook.com/pg/House-burger-231234863694274/about/?ref=page_internal;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires;47.20457, -2.04351;Loire-Atlantique
INTERMEZZO;Restaurant;Pizzeria;;rue de la résistance;;44290;;;GUEMENE-PENFAO;44067;47.6283241;-1.838262;;;02 40 51 03 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.6283241, -1.838262;Loire-Atlantique
IPANEMA;Restaurant;Pizzeria;;Face au 7 boulevard Darlu;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28143;-2.39913;;;02 40 24 15 35;;ipanema.labaule@gmail.com;http://ipanema-labaule.fr/index.html;;;;;;;;;;;Service en terrasse;;;;;;;;oui;;60;;01/01/2022||31/12/2022||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30;;;;;;47.28143, -2.39913;Loire-Atlantique
JULES ET JOHN;Restaurant;Restauration rapide;;Zone de la Chaussée;Le Chaudron;44210;;;PORNIC;44131;47.1126;-2.07571;;;02 72 45 00 50;;jjpornic@crescendo-restauration.fr;https://www.jules-et-john.fr/restaurant-pornic-19.html;;;;;;;;oui;;;Plats à emporter,Traiteur,WiFi;140;1;80;;1;;;oui;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.1126, -2.07571;Loire-Atlantique
KEBAB PONT MARTIN;Restaurant;Restauration rapide;;9 Rue de Nantes;;44860;;;PONT-SAINT-MARTIN;44130;47.123937;-1.5843543;"Aéroport/aérodrome||Nantes Atlantique ||10 ; Autoroute||la bignon ||10 ; Gare maritime||Nantes sud||20";;09 77 30 11 05;;;;;;;;;;;;;;Plats à emporter;;1;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert tous les jours 11h à minuit ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||09 77 30 11 05||;;;;;47.123937, -1.5843543;Loire-Atlantique
L'ADRESSE;Restaurant;Brasserie;;57 avenue Henri Becquerel;;44490;;;LE CROISIC;44049;47.28332;-2.50422;;;02 44 73 93 60;;;http://www.ladresselecroisic.com;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.28332, -2.50422;Loire-Atlantique
L'ANCRAGE GOURMAND;Restaurant;Cuisine traditionnelle;;4 rue du Maréchal Foch;;44760;;;LA BERNERIE-EN-RETZ;44012;47.07985;-2.03697;;06 77 66 49 98;02 51 18 64 87;;lancragegourmand@gmail.com;https://www.lancragegourmand.fr;;;;;;;;;;;Plats à emporter,Traiteur;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.07985, -2.03697;Loire-Atlantique
L'ANTRE-CÔTE;Restaurant;Grill - Rôtisserie;;22 Avenue Llatwit Major;;44510;;;LE POULIGUEN;44135;47.27883;-2.43337;;;02 44 07 14 95;;;;;;;;;;;;;;;;;;;;;;;;;;"01/01/2022||31/12/2022||Fermé le dimanche||||11:30||15:00||||||11:30||15:00||||||11:30||15:00||||||11:30||15:00||||||11:30||15:00||||||11:30||15:00|||||||||||| ; 01/01/2022||31/12/2022||||||||||||||||||||||18:30||22:00||||||18:30||22:00||||||18:30||22:00||||||18:30||22:00||||||||||||";;;;;;47.27883, -2.43337;Loire-Atlantique
L'EDEN BEACH;Restaurant;Cuisine traditionnelle;;5 Esplanade Lucien Barrière;Face à l'hôtel Barrière l'Hermitage;44500;;;LA BAULE-ESCOUBLAC;44055;47.28073;-2.40468;;;02 40 11 46 16;;hermitageresa@groupebarriere.com;http://www.lhermitage-labaule.com;;;;;;;;oui;;;Séminaire,Service en terrasse,WiFi;75;;80;;;;Allemand,Anglais;oui;;80;;"01/01/2022||31/12/2022||||||12:30||14:30||19:30||22:00||12:30||14:30||19:30||22:00||12:30||14:30||19:30||22:00||12:30||14:30||19:30||22:00||12:30||14:30||19:30||22:00||12:30||14:30||19:30||22:00||12:30||14:30||19:30||22:00 ; 01/04/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.28073, -2.40468;Loire-Atlantique
L'EMBELLIE;Restaurant;Salon de thé;;13 rue Jean Duplessis;;44760;;;LA BERNERIE-EN-RETZ;44012;47.08081;-2.03667;;;02 40 82 48 04;;contact@embellie.org;http://www.embellie.org;;;;;;;;non;;;WiFi;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.08081, -2.03667;Loire-Atlantique
L'ESPERANZA;Restaurant;Pizzeria;;6 Bis rue Georges Clémenceau;;44760;;;LA BERNERIE-EN-RETZ;44012;47.08074;-2.0378;;;02 40 82 75 54;;laetitia.nicolas8@sfr.fr;;;;;;;;;oui;;;;58;1;;;;;;oui;;58;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.08074, -2.0378;Loire-Atlantique
L'ESTACADE;Restaurant;Cuisine traditionnelle;;4, quai du Lénigo;;44490;;;LE CROISIC;44049;47.2979;-2.51479;;;02 40 23 03 77;;sarl-gts.lestacade@wanadoo.fr;http://lestacade.fr/le-restaurant/;;;;;;;;;;;;;;;;;;Anglais;;;;;;;;;;;47.2979, -2.51479;Loire-Atlantique
L'HER DU TEMPS;Restaurant;Crêperie;;18 grande Rue;;85330;;;PORNIC;44131;47.11043;-2.11628;;;02 51 39 09 28;;lherdutemps85@gmail.com;;;;;;Le petit futé;;;;;;;;;;;;;;oui;;;;;;;;;;47.11043, -2.11628;Loire-Atlantique
L'OCÉANIA - GALERIE DU LECLERC;Restaurant;Restauration rapide;;Galerie du Centre Leclerc;ZAC de Villejames;44350;;;GUERANDE;44069;47.32702;-2.41117;;;02 40 62 48 66;;LOceania@orange.fr;http://www.galeriecoteetmer.fr/loceania-saveurs/;;;;;;;;;;;WiFi;280;;50;;;;;;;;;01/01/2023||31/12/2023||||||11:30||14:30||18:30||21:00||11:30||14:30||18:30||21:00||11:30||14:30||18:30||21:00||11:30||14:30||18:30||21:00||11:30||14:30||18:30||21:30||11:30||14:30||18:30||21:30||11:30||14:30||||;;;;;;47.32702, -2.41117;Loire-Atlantique
L'ODYSSEE;Restaurant;Pizzeria;;17 Avenue Ernest Chevrier;Tharon Plage;44730;;;SAINT-MICHEL-CHEF-CHEF;44182;47.1652;-2.16487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1652, -2.16487;Loire-Atlantique
L'OURASI PMU;Restaurant;;;14 faubourg Sainte Anne;;44350;;;GUERANDE;44069;47.33112;-2.42902;;;02 40 24 91 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.33112, -2.42902;Loire-Atlantique
LA BRASSERIE DE PAPA;Restaurant;Cuisine traditionnelle;;56 rue des Halles;;44190;;;CLISSON;44043;47.0860483;-1.2825779;;;02 40 54 34 84;;;https://labrasseriedepapa.fr/;;;;;;;;oui;;;;;1;;;;;;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.0860483, -1.2825779;Loire-Atlantique
LA BRASSERIE DU CENTRE;Restaurant;Brasserie;;2 place de la Psalette;Intra-muros;44350;;;GUERANDE;44069;47.32822;-2.42973;;;02 40 24 91 95;;abroussard@orange.fr;http://www.brasserie-du-centre.fr;;;;;;;;oui;;;Service en terrasse,WiFi;80;;120;;;;Anglais,Espagnol;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.32822, -2.42973;Loire-Atlantique
LA BREIZH;Restaurant;Crêperie;;Centre commercial du Chaudron;;44210;;;PORNIC;44131;47.11205;-2.07478;;;02 51 18 45 89;;restaurantlabreizhpornic@gmail.com;https://creperielabreizhpornic.com/;;;;;;;;oui;;;Plats à emporter;105;;45;;1;;;oui;;;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.11205, -2.07478;Loire-Atlantique
LA BRONZETTE;Restaurant;Restauration rapide;;65 bis boulevard Albert 1er;;44600;;;SAINT-NAZAIRE;44184;47.2609003;-2.2247222;"Gare SNCF||||3,5 ; Transport en commun||Ligne U3 - Arrêt: Cormorans||0,35";07 82 26 30 94;;;srv90@hotmail.fr;;;;;;;;;oui;;;Plats à emporter,Service en terrasse;;;100;;;;Français;;;;non;08/05/2023||30/09/2023||Ouvert du lundi au dimanche||Ouvert 7j/7||10:00||||||23:00||10:00||||||23:00||10:00||||||23:00||10:00||||||23:00||10:00||||||23:00||10:00||||||23:00||10:00||||||23:00;;;;;;47.2609003, -2.2247222;Loire-Atlantique
LA CABANE A MALT;Restaurant;Cuisine traditionnelle;;2 Rue Albert de Dion;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.304034;-1.752879;;06 70 17 84 82;02 40 47 95 73;;lacabaneamalt@orange.fr;;;"Instagram||https://www.instagram.com/lacabaneamalt/?hl=fr ; Facebook||https://www.facebook.com/LaCabaneaMalt";;;;;;;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,WiFi;65;1;40;;;;;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.304034, -1.752879;Loire-Atlantique
PIZZERIA LE FAB'ULEUX;Restaurant;Pizzeria;;Boulevard Montaigne;CC La Taverne;44150;;;ANCENIS-SAINT-GEREON;44003;47.369643;-1.1986809;;;02 40 83 21 24;;restopizlefabuleux@outlook.fr;;;Facebook||https://www.facebook.com/Restaurant-LE-Fabuleux-1208193065874677/?fref=ts;;;;;;;;;Plats à emporter;80;;;;;;;;;;oui;||||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||||||19:00||21:15||||||19:00||21:15;;;;;;47.369643, -1.1986809;Loire-Atlantique
PIZZERIA RESTAURANT ISOLA;Restaurant;Pizzeria;;39 Rue du Général de Gaulle;;44560;;;PAIMBOEUF;44116;47.28915;-2.02904;;;09 67 19 91 31;;duchesnegilbert@orange.fr;https://www.facebook.com/restaurants.isola.7?__tn__=K-R&eid=ARBFpIYWwCcnsNidCf_dPnMlmoTCyK5Y_OMF4iB9iElvx68FXE2JEMDdLM8imlqMJ60pC8Cjc5OYPmMI&fref=mentions;;;;;;;;oui;;;;56;1;;;;;;;;;;01/01/2021||31/12/2021||Dimanche midi uniquement sur réservation.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.28915, -2.02904;Loire-Atlantique
